2025-11-16 15:28:47.117 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:28:57.120 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:29:07.126 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:29:17.128 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:29:27.136 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:29:37.143 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:29:47.150 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:29:57.155 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:30:07.162 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:30:17.169 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:30:27.177 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:30:37.184 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:30:47.188 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:30:57.196 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:31:07.200 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:31:17.204 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:31:27.210 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:31:37.218 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:31:47.224 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:31:57.232 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:32:07.242 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:32:17.250 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:32:27.255 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:32:37.262 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:32:47.267 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
